videoArchiveName,General Location,Deployment ID,Camera  type,Platform,Camera orientation,Depth,"Lat ",Long,Notes,,
Tripod Pulse 64-2,Station M,Pulse 64,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 64-3,Station M,Pulse 64,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 64-4,Station M,Pulse 64,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 64-5,Station M,Pulse 64,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 65-1,Station M,Pulse 65,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 65-15 October 2015,Station M,Pulse 65,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 65-2,Station M,Pulse 65,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 65-3,Station M,Pulse 65,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 65-4,Station M,Pulse 65,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 65-5,Station M,Pulse 65,Digital,Tripod Solo,Far field,,,,,,
Rover Chamber Pulse 66,Station M,Pulse 66,Digital,Rover,chamber,,,,,,
Rover fluoro Pulse 66,Station M,Pulse 66,Digital,Rover,fluorescence,,,,,,
Rover Transit Pulse 66,Station M,Pulse 66,Digital,Rover,transit,,,,,,
SES Pulse 66,Station M,Pulse 66,Digital,SES,Slide,,35.15459167,-122.998755,,,
Tripod Pulse 66-1,Station M,Pulse 66,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 66-2,Station M,Pulse 66,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 66-3,Station M,Pulse 66,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 66-4,Station M,Pulse 66,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 66-5,Station M,Pulse 66,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 67 Far Field Dual-1,Station M,Pulse 67,Digital,Tripod Dual,Far field,,35.146626,-122.97388,,,
Tripod Pulse 67 Far Field Dual-2,Station M,Pulse 67,Digital,Tripod Dual,Far field,,35.146626,-122.97388,,,
Tripod Pulse 67 Far Field Dual-3,Station M,Pulse 67,Digital,Tripod Dual,Far field,,35.146626,-122.97388,,,
Tripod Pulse 67 Near Field Dual-1,Station M,Pulse 67,Digital,Tripod Dual,Near field,,35.146626,-122.97388,,,
Tripod Pulse 67 Near Field Dual-2,Station M,Pulse 67,Digital,Tripod Dual,Near field,,35.146626,-122.97388,,,
Tripod Pulse 67 Near Field Dual-3,Station M,Pulse 67,Digital,Tripod Dual,Near field,,35.146626,-122.97388,,,
Rover Chamber Pulse 67,Station M,Pulse 67,Digital,Rover,chamber,,,,,,
Rover fluoro Pulse 67,Station M,Pulse 67,Digital,Rover,fluorescence,,,,,,
Rover Transit Pulse 67,Station M,Pulse 67,Digital,Rover,transit,,,,,,
Tripod Pulse 67 Far Field Solo-1,Station M,Pulse 67,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 67 Far Field Solo-2,Station M,Pulse 67,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 67 Far Field Solo-3,Station M,Pulse 67,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 68 Far Dual-1,Station M,Pulse 68,Digital,Tripod Dual,Far field,,35.14966833,-122.971025,,,
Tripod Pulse 68 Far Dual-2,Station M,Pulse 68,Digital,Tripod Dual,Far field,,35.14966833,-122.971025,,,
Tripod Pulse 68 Far Dual-3,Station M,Pulse 68,Digital,Tripod Dual,Far field,,35.14966833,-122.971025,,,
Tripod Pulse 68 Far Dual-4,Station M,Pulse 68,Digital,Tripod Dual,Far field,,35.14966833,-122.971025,,,
Tripod Pulse 68 Far Dual-5,Station M,Pulse 68,Digital,Tripod Dual,Far field,,35.14966833,-122.971025,,,
Tripod Pulse 68 Nea  Dual-1,Station M,Pulse 68,Digital,Tripod Dual,Near field,,35.14966833,-122.971025,,,
Tripod Pulse 68 Near Dual-2,Station M,Pulse 68,Digital,Tripod Dual,Near field,,35.14966833,-122.971025,,,
Tripod Pulse 68 Near Dual-3,Station M,Pulse 68,Digital,Tripod Dual,Near field,,35.14966833,-122.971025,,,
